Danh mục,Ghi chú,Giá,Ngày giao dịch,Ngày tạo,Ngày sửa
Qua,Quà cho cánh hàng tháng,20000,1704468696000,2024-03-23T23:11:19+07:00,2024-03-23T23:11:19+07:00
Qua,Quà cho cánh hàng tháng,20000,1707147096000,2024-03-23T23:11:19+07:00,2024-03-23T23:11:19+07:00
Qua,Quà cho cánh hàng tháng,20000,1709652696000,2024-03-23T23:11:19+07:00,2024-03-23T23:11:19+07:00
Qua,Quà cho cánh hàng tháng,20000,1712331096000,2024-03-23T23:11:19+07:00,2024-03-23T23:11:19+07:00
Qua,Quà cho cánh hàng tháng,20000,1714923096000,2024-03-23T23:11:19+07:00,2024-03-23T23:11:19+07:00
Tiet kiem,Rút lõi,10000,1704468696000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1704555096000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1704641496000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1704727896000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1704814296000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1704900696000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1704987096000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1705073496000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1705159896000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1705246296000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1705332696000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1705419096000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1705505496000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1705591896000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1705678296000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1705764696000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1705851096000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1705937496000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1706023896000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1706110296000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1706196696000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1706283096000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1706369496000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1706455896000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1706542296000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1706628696000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1706715096000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1706801496000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1706887896000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1706974296000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1707060696000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
